,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
18,18,18,18,18,2017-09-11,157.169998,159.800003,154.639999,158.580002,158.580002,1579400,1.9894059277411285
19,19,19,19,19,2017-09-18,157.929993,164.600006,155.570007,163.96000700000005,163.96000700000005,1342000,1.9671870897151156
20,20,20,20,20,2017-09-25,164.199997,171.0,158.71000700000005,168.600006,168.600006,1572500,1.9724792477172273
21,21,21,21,21,2017-10-02,168.929993,175.600006,167.830002,174.880005,174.880005,1432300,1.9640896682270792
22,22,22,22,22,2017-10-09,175.58999599999999,175.720001,170.600006,173.850006,173.850006,1302600,2.0059246417282264
23,23,23,23,23,2017-10-16,171.66000400000001,175.78999299999995,170.100006,174.619995,174.619995,1073700,1.995590487790359
24,24,24,24,24,2017-10-23,174.979996,183.96000700000002,164.800003,181.070007,181.070007,3232400,1.9643783522911114
25,25,25,25,25,2017-10-30,179.559998,195.020004,177.399994,194.899994,194.899994,2266500,1.9290405981233638
26,26,26,26,26,2017-11-06,195.179993,198.28999299999998,192.619995,195.21000700000002,195.21000700000002,1295300,1.99841190006207
27,27,27,27,27,2017-11-13,193.360001,196.479996,190.070007,194.320007,194.320007,1890900,2.004580073939582
28,28,28,28,28,2017-11-20,200.0,200.0,195.110001,199.740005,199.740005,1128400,1.9728647348336656
29,29,29,29,29,2017-11-27,199.979996,200.279999,189.259995,194.600006,194.600006,2225200,2.0264131492370048
30,30,30,30,30,2017-12-04,196.520004,196.53999299999998,186.720001,191.360001,191.360001,1801300,2.016931464167373
31,31,31,31,31,2017-12-11,191.360001,195.130005,188.139999,188.71000700000002,188.71000700000002,1311300,2.014042678722385
32,32,32,32,32,2017-12-18,190.009995,195.649994,189.050003,191.639999,191.639999,951700,1.984710957966557
33,33,33,33,33,2017-12-25,191.309998,191.619995,187.009995,187.41000400000001,187.41000400000001,682300,2.0225708068391053
34,34,34,34,34,2018-01-01,188.130005,202.96000700000002,188.050003,202.320007,202.320007,1020600,1.9263048513042014
35,35,35,35,35,2018-01-08,208.240005,216.149994,204.669998,215.11000099999998,215.11000099999998,1288000,1.9405420764234946
36,36,36,36,36,2018-01-15,216.690002,229.05000299999998,216.0,228.289993,228.289993,1605300,1.9422664487969912
37,37,37,37,37,2018-01-22,229.229996,239.100006,226.830002,238.88999900000002,238.88999900000002,1271500,1.955628088055708
38,38,38,38,38,2018-01-29,239.0,255.419998,219.61000099999998,248.19999700000002,248.19999700000002,2502900,1.962489935082473
39,39,39,39,39,2018-02-05,245.0,245.0,219.13000499999998,229.38000499999998,229.38000499999998,3359200,2.0820472211603627
40,40,40,40,40,2018-02-12,232.149994,268.72000099999997,225.5,267.73999,267.73999,2746400,1.8567267258058835
41,41,41,41,41,2018-02-19,267.899994,274.0,261.23999,268.450012,268.450012,1997800,1.997355105351979
42,42,42,42,42,2018-02-26,270.519989,276.209991,258.100006,275.130005,275.130005,1792400,1.9757205943423002
43,43,43,43,43,2018-03-05,274.519989,297.450012,273.179993,294.519989,294.519989,2308400,1.9341641154278326
44,44,44,44,44,2018-03-12,295.649994,304.2799990000001,289.269989,293.049988,293.049988,1912500,2.0050162124558764
45,45,45,45,45,2018-03-19,291.269989,295.829987,282.119995,283.98999,283.98999,2303300,2.0319025258601546
46,46,46,46,46,2018-03-26,288.0299990000001,299.880005,276.200012,290.98999,290.98999,1663400,1.9759441896953225
47,47,47,47,47,2018-04-02,291.429993,297.0,274.230011,286.22000099999997,286.22000099999997,2182200,2.01666546357115
48,48,48,48,48,2018-04-09,289.089996,302.940002,287.709991,296.73999,296.73999,1811800,1.9645481251111452
49,49,49,49,49,2018-04-16,298.0,309.2799990000001,294.2799990000001,305.920013,305.920013,1923600,1.9699920809038407
50,50,50,50,50,2018-04-23,305.899994,306.549988,277.01001,301.73999,301.73999,2801400,2.0138530626981197
51,51,51,51,51,2018-04-30,303.2799990000001,352.149994,298.170013,349.27999900000015,349.27999900000015,4347900,1.8638914076497115
52,52,52,52,52,2018-05-07,348.299988,374.75,339.75,372.679993,372.679993,2764000,1.9372115637020528
53,53,53,53,53,2018-05-14,370.869995,388.75,368.140015,384.359985,384.359985,2870600,1.9696118418778688
54,54,54,54,54,2018-05-21,387.27999900000003,403.450012,378.51001,394.27999900000003,394.27999900000003,2466500,1.9748401795040076
55,55,55,55,55,2018-05-28,388.649994,399.47000099999997,375.0,392.25,392.25,16771500,2.0051752683237734
56,56,56,56,56,2018-06-04,395.609985,415.0,392.369995,409.769989,409.769989,3564100,1.9572443334789946
