,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,2017-05-08,44.700001,44.700001,43.779999,43.959998999999996,41.373005,18100700,0.0
1,1,1,1,1,2017-05-15,43.919998,44.59,42.880001,43.16,40.620079,28480200,2.018535658016682
2,2,2,2,2,2017-05-22,43.27,44.849998,43.099998,44.709998999999996,42.078865,28157500,1.9653321620517146
3,3,3,3,3,2017-05-29,44.459998999999996,46.549999,44.209998999999996,46.5,43.763535,32840700,1.9615053548387096
4,4,4,4,4,2017-06-05,46.57,47.310001,45.919998,47.290001000000004,44.507038,35699000,1.9832945446543762
5,5,5,5,5,2017-06-12,47.290001000000004,48.380001,47.169998,48.209998999999996,45.37289000000001,39875000,1.9809168633253862
6,6,6,6,6,2017-06-19,48.34,49.59,48.150002,49.080002,46.191696,42240000,1.982273778228452
7,7,7,7,7,2017-06-26,49.209998999999996,49.450001,48.349998,48.610001000000004,45.74935900000001,28333900,2.009668812802534
8,8,8,8,8,2017-07-03,48.73,49.099998,47.900002,48.439999,45.589359,18111600,2.003509537644706
9,9,9,9,9,2017-07-10,48.419998,49.110001000000004,47.830002,48.91,46.0317,22598800,1.9903904927417706
10,10,10,10,10,2017-07-17,48.91,51.130001,48.279999,50.84,48.112915,34318500,1.9620377655389456
11,11,11,11,11,2017-07-24,50.810001,51.0,49.509997999999996,49.610001000000004,46.948902000000004,33393400,2.02479336777276
12,12,12,12,12,2017-07-31,49.610001000000004,49.84,48.720001,49.259997999999996,46.617668,23676100,2.0071052175032573
13,13,13,13,13,2017-08-07,49.259997999999996,49.380001,48.049999,48.540001000000004,45.936291,19023000,2.0148330652073945
14,14,14,14,14,2017-08-14,48.740002000000004,50.150002,48.68,48.740002000000004,46.125568,24106500,1.995896573824515
15,15,15,15,15,2017-08-21,48.779999,49.849998,48.580002,49.349998,46.702847,21584000,1.987639391596328
16,16,16,16,16,2017-08-28,49.540001000000004,51.41,49.490002000000004,51.18,48.434681,23977600,1.964243806174287
17,17,17,17,17,2017-09-04,50.84,52.150002,50.639998999999996,52.02,49.22963,22600200,1.9838523644752017
18,18,18,18,18,2017-09-11,52.349998,52.599998,51.490002000000004,51.759997999999996,48.983574,23910500,2.005023222759785
