,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,2017-06-01,45.52,49.59,45.470001,48.610001000000004,45.74935900000001,160419100,0.0
1,1,1,1,1,2017-07-01,48.73,51.130001,47.830002,49.18,46.285824,114458500,1.9884099430662872
2,2,2,2,2,2017-08-01,49.209998999999996,51.049999,48.049999,50.939999,48.207558,101731600,1.9654495674410988
3,3,3,3,3,2017-09-01,51.029999,54.799999,50.639998999999996,53.360001000000004,50.497746,125039500,1.9546476395305916
4,4,4,4,4,2017-10-01,53.639998999999996,56.689999,53.200001,54.23,51.321075,125041700,1.9839572376913148
5,5,5,5,5,2017-11-01,53.889998999999996,56.52,53.610001000000004,56.369999,53.607239,110451700,1.9620365613275954
6,6,6,6,6,2017-12-01,56.299999,57.77,54.32,57.07,54.27293,128810800,1.9877343437883301
7,7,7,7,7,2018-01-01,58.200001,64.599998,57.82,62.16,59.113457,156001900,1.918114543114543
8,8,8,8,8,2018-02-01,61.75,62.540001000000004,55.580002,60.330002,57.647526,142631600,2.0303331334217427
9,9,9,9,9,2018-03-01,60.16,63.950001,58.43,59.919998,57.25575600000001,141022100,2.0068425235928746
10,10,10,10,10,2018-04-01,59.82,60.150002,56.990002000000004,58.130001,55.545341,136142700,2.0307929979220196
11,11,11,11,11,2018-05-01,57.700001,62.720001,56.810001,61.529999,59.07717099999999,119238100,1.9447424336866965
12,12,12,12,12,2018-06-01,61.959998999999996,63.849998,60.32,60.990002000000004,58.558701,106517500,2.0088538609983977
13,13,13,13,13,2018-07-01,60.630001,65.900002,60.32,65.540001,62.927315,108829300,1.9305767633418254
14,14,14,14,14,2018-08-01,65.349998,67.360001,63.07,66.839996,64.463966,94870900,1.9805506421634138
15,15,15,15,15,2018-09-01,66.739998,73.58000200000002,65.220001,73.360001,70.752197,109301400,1.9111231609716035
16,16,16,16,16,2018-10-01,73.809998,74.150002,65.779999,68.940002,66.489319,182684600,2.064113705711816
17,17,17,17,17,2018-11-01,69.089996,74.230003,67.83000200000001,74.050003,71.711311,133863300,1.9309925618774113
18,18,18,18,18,2018-12-01,74.290001,74.91999799999998,65.440002,72.33000200000002,70.045631,144019200,2.0237799108591203
19,19,19,19,19,2019-01-01,70.389999,73.07,65.5,72.980003,70.67511,157850300,1.991093436924085
20,20,20,20,20,2019-02-01,73.019997,78.059998,71.5,77.620003,75.517128,108040800,1.9402215946835253
21,21,21,21,21,2019-03-01,77.989998,80.489998,75.860001,79.940002,77.77426899999998,119619800,1.9709782469107267
22,22,22,22,22,2019-04-01,80.66999799999998,80.739998,72.360001,79.559998,77.404556,118461000,2.0047763198787414
23,23,23,23,23,2019-05-01,79.349998,79.470001,74.540001,76.129997,74.370605,106179900,2.0450545269297726
24,24,24,24,24,2019-06-01,76.25,85.449997,75.440002,84.099998,82.156425,115148900,1.9052318526809002
25,25,25,25,25,2019-07-01,84.739998,88.760002,82.900002,87.099998,85.087082,103737300,1.965556830437585
26,26,26,26,26,2019-08-01,87.18,88.059998,81.360001,85.32,83.66035500000002,103517500,2.020862611345523
27,27,27,27,27,2019-09-01,84.43,86.43,81.019997,83.66999799999998,82.042458,78671800,2.0197203542421502
28,28,28,28,28,2019-10-01,84.029999,84.769997,78.510002,83.610001,81.983627,111637700,2.000717581620409
29,29,29,29,29,2019-11-01,84.089996,85.970001,80.900002,85.449997,84.12374100000002,97883800,1.978466985785851
30,30,30,30,30,2019-12-01,85.57,89.239998,83.269997,86.860001,85.511848,84085400,1.9837669354850689
31,31,31,31,31,2020-01-01,86.059998,92.449997,84.010002,87.139999,85.78750600000002,119657000,1.996786802809121
32,32,32,32,32,2020-02-01,87.779999,90.08000200000001,74.019997,77.029999,76.156509,102113400,2.1312475675872724
