,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,0,0,0,0,2017-05-08,66.160004,66.230003,64.660004,66.059998,55.307930000000006,19087500,0.0
1,1,1,1,1,1,1,1,1,2017-05-15,66.07,66.91999799999999,64.610001,65.58000200000001,54.906059,40345600,2.007319243448635
2,2,2,2,2,2,2,2,2,2017-05-22,65.550003,66.57,64.800003,66.059998,55.307930000000006,21534100,1.992733938623492
3,3,3,3,3,3,3,3,3,2017-05-29,65.889999,67.309998,65.610001,67.25,56.304233999999994,21940400,1.9823048029739778
4,4,4,4,4,4,4,4,4,2017-06-05,67.25,69.83000200000001,66.879997,69.66999799999999,58.330353,31061200,1.965264847574705
5,5,5,5,5,5,5,5,5,2017-06-12,69.790001,71.120003,69.25,71.050003,59.485748,32017400,1.9805769888567069
6,6,6,6,6,6,6,6,6,2017-06-19,71.110001,73.66999799999998,70.940002,72.639999,60.816936,36099300,1.9781112882449239
7,7,7,7,7,7,7,7,7,2017-06-26,72.790001,73.540001,71.910004,72.510002,60.708115,21880100,2.0017928147347175
8,8,8,8,8,8,8,8,8,2017-07-03,72.760002,72.989998,71.410004,72.029999,60.306231999999994,16028400,2.006663931787643
9,9,9,9,9,9,9,9,9,2017-07-10,71.800003,73.230003,71.300003,73.110001,61.210453,21079100,1.9852277118694062
10,10,10,10,10,10,10,10,10,2017-07-17,73.099998,75.040001,71.75,74.629997,63.044689,22926000,1.9796329081990987
11,11,11,11,11,11,11,11,11,2017-07-24,74.629997,74.75,69.379997,70.440002,59.505145999999996,32130700,2.0594831754831575
12,12,12,12,12,12,12,12,12,2017-07-31,70.519997,71.370003,69.83000200000001,70.989998,59.969761,28507200,1.9922524860474007
13,13,13,13,13,13,13,13,13,2017-08-07,70.940002,72.190002,70.389999,70.629997,59.665645999999995,21674000,2.0050969986590825
14,14,14,14,14,14,14,14,14,2017-08-14,71.230003,71.290001,69.470001,69.959999,59.099651,20226900,2.0095768726354613
15,15,15,15,15,15,15,15,15,2017-08-21,69.91999799999999,72.779999,69.910004,72.480003,61.228474,19286200,1.965231734330916
16,16,16,16,16,16,16,16,16,2017-08-28,72.66999799999998,76.0,72.559998,75.41999799999998,63.712058999999996,21163600,1.9610183627955018
17,17,17,17,17,17,17,17,17,2017-09-04,75.389999,86.089996,74.730003,85.339996,72.092117,44250700,1.883759099309074
18,18,18,18,18,18,18,18,18,2017-09-11,84.459999,89.690002,84.379997,87.370003,73.80699200000002,63728500,1.9767654008206912
19,19,19,19,19,19,19,19,19,2017-09-18,87.470001,87.809998,85.08000200000002,87.480003,73.899895,38149800,1.998742569773346
20,20,20,20,20,20,20,20,20,2017-09-25,86.91999799999998,90.949997,83.190002,88.860001,75.06568100000001,42309300,1.9844699754167232
21,21,21,21,21,21,21,21,21,2017-10-02,89.739998,91.33000200000001,88.910004,90.489998,76.44265,21982900,1.9819869926397833
22,22,22,22,22,22,22,22,22,2017-10-09,90.57,92.610001,89.699997,90.66999799999999,76.594688,25812300,1.9980147788246339
23,23,23,23,23,23,23,23,23,2017-10-16,91.010002,98.260002,90.559998,96.099998,81.7481,37086800,1.9434963567845236
24,24,24,24,24,24,24,24,24,2017-10-23,95.93,96.0,85.239998,91.93,78.200867,41083600,2.0453605787011857
25,25,25,25,25,25,25,25,25,2017-10-30,91.699997,93.339996,88.910004,92.309998,78.524117,29243300,1.995883457824363
26,26,26,26,26,26,26,26,26,2017-11-06,92.220001,96.370003,91.41999799999999,95.43,81.178177,30807300,1.967305857696741
27,27,27,27,27,27,27,27,27,2017-11-13,95.370003,95.41999799999999,92.720001,93.610001,79.629982,21186700,2.0194423563781396
28,28,28,28,28,28,28,28,28,2017-11-20,93.91999799999999,95.400002,92.889999,94.720001,80.574211,13192000,1.9882812501237197
29,29,29,29,29,29,29,29,29,2017-11-27,94.690002,98.519997,94.300003,96.32,81.935257,24944200,1.9833887147009968
