,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
46,46,46,46,46,46,46,46,46,2018-03-26,217.86000099999998,221.86000099999998,214.729996,219.520004,200.626221,11436600,1.981049549361342
47,47,47,47,47,47,47,47,47,2018-04-02,218.05000299999998,220.309998,209.470001,212.25,193.981918,14720200,2.0342520800942285
48,48,48,48,48,48,48,48,48,2018-04-09,213.75,218.710007,212.399994,215.520004,196.97048999999998,11190700,1.9848273759311919
49,49,49,49,49,49,49,49,49,2018-04-16,217.19999700000002,221.690002,216.58999599999999,217.75,199.00853,9600700,1.9897589161882892
50,50,50,50,50,50,50,50,50,2018-04-23,218.020004,218.729996,194.399994,196.119995,179.240189,27876600,2.110289646907242
51,51,51,51,51,51,51,51,51,2018-04-30,196.96000700000002,199.929993,191.440002,199.360001,182.201324,19234400,1.983747963564667
52,52,52,52,52,52,52,52,52,2018-05-07,200.059998,205.679993,199.559998,205.16000400000001,187.502136,15354700,1.971729367874257
53,53,53,53,53,53,53,53,53,2018-05-14,205.669998,206.03999299999998,198.449997,198.96000700000002,181.83577,13750100,2.031162026446853
54,54,54,54,54,54,54,54,54,2018-05-21,200.5,202.929993,196.559998,199.029999,183.143814,10919600,1.9996483344201794
55,55,55,55,55,55,55,55,55,2018-05-28,198.0,200.419998,195.100006,199.58999599999999,183.659119,11570000,1.9971942631834114
56,56,56,56,56,56,56,56,56,2018-06-04,200.729996,206.75,200.070007,206.58999599999999,190.100403,11401200,1.9661164619026372
57,57,57,57,57,57,57,57,57,2018-06-11,206.58999599999999,206.78999299999998,200.110001,204.970001,188.60968,13877900,2.00790357121577
58,58,58,58,58,58,58,58,58,2018-06-18,202.529999,204.570007,194.58999599999999,196.5,180.815765,13108400,2.0431043307888044
59,59,59,59,59,59,59,59,59,2018-06-25,195.979996,199.899994,193.639999,196.720001,181.01818799999998,12602700,1.9988816541333794
60,60,60,60,60,60,60,60,60,2018-07-02,195.46000700000002,198.949997,193.509995,197.46000700000002,181.699142,6688200,1.9962523752974444
